exterior_color,interior_color,location,make,model,mileage,style,year,engine,accidentCount,ownerCount,isCleanTitle,isFrameDamaged,isLemon,isSalvage,isTheftRecovered,price
"Night Black",Unknown,"Patchogue, NY",Audi,Q7,91366,"Premium Plus 3.0T quattro",2015,"3.0L V-6 Gas Supercharged",1,1,1,0,0,0,0,16995
"Orca Black Metallic",Unknown,"Patchogue, NY",Audi,Q7,35681,"S-line 3.0T quattro",2011,"3.0L V-6 Gas Supercharged",0,1,1,0,0,0,0,17995
"Brilliant Black",Unknown,"Patchogue, NY",Audi,Q5,113073,"Premium Plus 2.0T quattro",2011,"2.0L Inline-4 Gas Turbocharged",0,5,1,0,0,0,0,9995
"Azores Green Metallic","Nougat Brown","Commack, NY",Audi,Q5,58464,"Premium Plus",2018,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,24495
Black,Brown,"Medford, NY",Audi,A3,60979,"Premium Sedan 2.0T quattro",2015,"2.0L Inline-4 Gas Turbocharged",0,2,1,0,0,0,0,16990
"Monsoon Gray Metallic",Black,"Medford, NY",Audi,S4,76315,"Premium Plus Sedan S tronic",2013,"3.0L V-6 Gas Supercharged",0,2,1,0,0,0,0,19590
"Manhattan Gray Metallic","Rock Gray/Gray","Yonkers, NY",Audi,A4,55312,"Premium Plus quattro S tronic",2018,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,18789
"Ibis White","Chestnut Brown","Valley Stream, NY",Audi,A3,20154,"Premium Sedan 2.0 quattro",2018,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,17890
"Phantom Black Pearl Effect",Black,"Massapequa, NY",Audi,A6,71466,"Premium Plus Sedan 3.0T quattro Automatic",2014,"3.0L V-6 Gas Supercharged",2,2,1,0,0,0,0,14977
"Dakota Gray Metallic",Black,"Medford, NY",Audi,A6,57170,"Premium Plus Sedan 2.0T FrontTrak",2012,"2.0L Inline-4 Gas Supercharged",0,1,1,0,0,0,0,14990
"Moonlight Blue Metallic",Black,"Medford, NY",Audi,A8,87613,3.0S,2014,"3.0L V-6 Gas Supercharged",0,2,1,0,0,0,0,20990
"Moonlight Blue Metallic",Black,"Glen Cove, NY",Audi,A4,27847,"Premium Plus quattro S tronic",2018,"2.0L Inline-4 Gas Turbocharged",0,2,1,0,0,0,0,25000
"Moonlight Blue Metallic","Nougat Brown","Greatneck, NY",Audi,Q5,30969,"Premium Plus",2018,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,24890
"Ibis White","Chestnut Brown","Freeport, NY",Audi,Q5,63900,"Premium Plus 2.0T quattro",2015,"2.0L Inline-4 Gas Turbocharged",0,2,1,0,0,0,0,16815
"Phantom Black Pearl Effect",Black,"Hasbrouck Heights, NJ",Audi,Q5,61677,"Premium Plus 3.2L quattro",2012,"3.2L V-6 Gas",0,3,1,0,0,0,0,14000
"Meteor Gray Pearl",Black,"Meriden, CT",Audi,A4,122587,"Premium Avant Wagon 2.0T quattro Automatic",2011,"2.0L Inline-4 Gas Turbocharged",0,3,1,0,0,0,0,6995
"Ibis White","Chestnut Brown","Deer Park, NY",Audi,Q5,56790,"Premium Plus 2.0T quattro",2016,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,20490
"Manhattan Gray Metallic","Nougat Brown","Freeport, NY",Audi,Q5,62251,"Premium Plus",2018,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,23990
"Daytona Gray Pearl Effect",Black,"Newark, NJ",Audi,Q5,96652,"Premium Plus 3.0T quattro",2014,"3.0L V-6 Gas Supercharged",2,3,1,0,0,0,0,12495
"Moonlight Blue Metallic",Black,"East Hanover, NJ",Audi,Q5,56189,"Premium Plus",2018,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,24899
"Florett Silver Metallic",Black,"Lynbrook, NY",Audi,A4,63751,"Premium Plus quattro S tronic",2018,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,17990
"Brilliant Black",Black,"Hasbrouck Heights, NJ",Audi,A4,61208,"Sedan 2.0T quattro Manual",2008,"2.0L Inline-4 Gas Turbocharged",0,2,1,0,0,0,0,6999
"Florett Silver Metallic","Black/Red Contrast Stitch","Great Neck, NY",Audi,A4,33291,"Premium Plus quattro S tronic",2018,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,21360
"Phantom Black Pearl",Black,"Medford, NY",Audi,A5,33242,"Premium Plus Cabriolet 2.0T quattro Automatic",2012,"2.0L Inline-4 Gas Turbocharged",0,2,1,0,0,0,0,19990
"Havanna Black Metallic","Velvet Beige","Medford, NY",Audi,A8,64804,"L 3.0 TFSI",2017,"3.0L V-6 Gas Supercharged",0,2,1,0,0,0,0,31990
"Brilliant Black",Black,"Valley Stream, NY",Audi,A6,54867,"Premium 2.0 TFSI quattro",2017,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,17395
"Ibis White",Black,"Medford, NY",Audi,TT,70742,"Coupe 2.0T quattro S tronic",2015,"2.0L Inline-4 Gas Turbocharged",0,4,1,0,0,0,0,20990
"Ibis White",Black,"Medford, NY",Audi,"RS 5",66095,Coupe,2013,"4.2L V-8 Gas",0,3,1,0,0,0,0,32990
"Brilliant Black",Black,"Freeport, NY",Audi,Q3,63003,"Premium Plus quattro",2018,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,18990
